"ORIGIN","DEST",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","IAH",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AEX","DFW",
"AGS","DFW",
"AGS","DFW",
"AGS","DFW",
"AGS","DFW",
"AGS","DFW",
"AGS","DFW",
"AGS","DFW",
"AGS","DFW",
"AGS","DFW",
"AGS","DFW",
"AGS","DFW",
"AGS","DFW",
"AGS","DFW",
"AGS","DFW",
"AGS","DFW",
"AGS","DFW",
"AGS","DFW",
"AGS","DFW",
"AGS","DFW",
"AGS","DFW",
"AGS","DFW",
"AGS","DFW",
"AGS","DFW",
"AGS","DFW",
"AGS","DFW",
"AGS","DFW",
"AGS","DFW",
"AGS","DFW",
"AGS","DFW",
"AGS","DFW",
"AGS","DFW",
"AMA","IAH",
"AMA","DAL",
"AMA","DAL",
"AMA","DAL",
"AMA","DAL",
"AMA","LAS",
"AMA","DAL",
"AMA","DAL",
"AMA","DAL",
"AMA","DAL",
"AMA","LAS",
"AMA","DAL",
"AMA","DAL",
"AMA","DAL",
"AMA","LAS",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DAL",
"AMA","DAL",
"AMA","DAL",
"AMA","LAS",
"AMA","DAL",
"AMA","DAL",
"AMA","DAL",
"AMA","DAL",
"AMA","HOU",
"AMA","LAS",
"AMA","DAL",
"AMA","DAL",
"AMA","DAL",
"AMA","HOU",
"AMA","LAS",
"AMA","DAL",
"AMA","DAL",
"AMA","DAL",
"AMA","DAL",
"AMA","LAS",
"AMA","DAL",
"AMA","DAL",
"AMA","DAL",
"AMA","DAL",
"AMA","LAS",
"AMA","DAL",
"AMA","DAL",
"AMA","DAL",
"AMA","DAL",
"AMA","LAS",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
